day: day of measurement,,,,,,,,,
month: month of measurement,,,,,,,,,
year: year of measurement,,,,,,,,,
station: location of measurement     ,,,,,,,,,
"maxtp: Maximum Air Temperature (C)	  ",,,,,,,,,
mintp: Minimum  Air Temperature (C),,,,,,,,,
rain: Precipitation Amount (mm),,,,,,,,,
wdsp: Mean Wind Speed (knot),,,,,,,,,
hg: Highest Gust (knot),,,,,,,,,
sun: Sunshine duration (hours),,,,,,,,,
,,,,,,,,,
day,month,year,station,maxtp,mintp,rain,wdsp,hg,sun
1,jan,2018,Dublin Airport,7.5,3.2,0.6,18.5,41,2.7
2,jan,2018,Dublin Airport,11.1,3.4,8.4,17,54,0.8
3,jan,2018,Dublin Airport,8.1,4.6,1.3,23.8,51,0.9
4,jan,2018,Dublin Airport,9.3,3.4,10.7,14.6,48,1.3
5,jan,2018,Dublin Airport,6.7,-1,0,6.6,16,3.3
6,jan,2018,Dublin Airport,6.2,-0.8,0.1,14.1,31,2.4
7,jan,2018,Dublin Airport,6.1,-0.1,0,9.9,21,3.2
8,jan,2018,Dublin Airport,5.6,-2.5,0,11.2,27,4.1
9,jan,2018,Dublin Airport,8,3.5,2.1,15.7,35,0
10,jan,2018,Dublin Airport,7.4,-0.1,0,6.1,15,3.9
11,jan,2018,Dublin Airport,4.8,-3.2,0,5.1,11,4.1
12,jan,2018,Dublin Airport,8.6,2.6,0,15.5,33,0.8
13,jan,2018,Dublin Airport,8,5.8,0.4,15.5,35,0
14,jan,2018,Dublin Airport,9.5,-0.7,1.7,11.6,39,2.6
15,jan,2018,Dublin Airport,9.8,2.8,1.5,17.7,35,2.3
16,jan,2018,Dublin Airport,3.4,-0.2,2.1,19,35,0.5
17,jan,2018,Dublin Airport,10.1,0.1,6.4,18.5,50,3.7
18,jan,2018,Dublin Airport,9.4,0.5,0,18.2,52,4.4
19,jan,2018,Dublin Airport,4.4,0.4,0.1,15.8,27,4.9
20,jan,2018,Dublin Airport,4.2,-0.8,9.2,5.7,15,0
21,jan,2018,Dublin Airport,12.1,0.4,21.1,16.1,42,0.2
22,jan,2018,Dublin Airport,9.8,6.2,0,12.7,26,0.1
23,jan,2018,Dublin Airport,13.1,8.8,0,18.5,45,5.3
24,jan,2018,Dublin Airport,12.1,5.2,14.4,22.7,50,5.3
25,jan,2018,Dublin Airport,8.5,3.9,0.3,16.4,34,3.2
26,jan,2018,Dublin Airport,7.3,0.7,0.1,9.4,20,3.8
27,jan,2018,Dublin Airport,12.7,7.1,3.7,17.5,39,0
28,jan,2018,Dublin Airport,12.7,8.2,0.1,20.2,38,0.1
29,jan,2018,Dublin Airport,11.5,2.6,4.5,13.6,42,5.4
30,jan,2018,Dublin Airport,6.5,2.4,0.8,10.9,36,0
31,jan,2018,Dublin Airport,7.2,0.8,3.5,19.8,38,4
1,feb,2018,Dublin Airport,6.2,1.6,0,15,32,5.8
2,feb,2018,Dublin Airport,6.9,1,1.8,10.3,23,5.9
3,feb,2018,Dublin Airport,6.2,1.8,0.3,13,30,0.8
4,feb,2018,Dublin Airport,7,-1.2,2,6.2,17,2
5,feb,2018,Dublin Airport,5.7,-2.3,0.9,4.5,14,2.4
6,feb,2018,Dublin Airport,3.5,-1.6,0.8,11.3,34,7.6
7,feb,2018,Dublin Airport,5.9,-2.9,0.3,10,25,0.6
8,feb,2018,Dublin Airport,8.3,3.2,1.3,10.7,36,0.1
9,feb,2018,Dublin Airport,5.5,-0.3,0.3,14.2,34,7.5
10,feb,2018,Dublin Airport,10.8,3.1,4.9,18.2,47,2.6
11,feb,2018,Dublin Airport,3.9,-0.6,0,18.1,35,6.3
12,feb,2018,Dublin Airport,6,-0.9,0,14.9,33,6.6
13,feb,2018,Dublin Airport,6.3,0.3,2.3,12.1,27,7.4
14,feb,2018,Dublin Airport,10.9,2.6,0.4,15.8,41,2.5
15,feb,2018,Dublin Airport,6,1,0.5,17,35,6.1
16,feb,2018,Dublin Airport,8.4,1.4,0.9,11.2,28,1.2
17,feb,2018,Dublin Airport,9.6,0.9,0.1,7.8,19,6
18,feb,2018,Dublin Airport,10.6,2.5,1.8,8.4,22,0
19,feb,2018,Dublin Airport,12,4.7,0.6,9.9,27,1.2
20,feb,2018,Dublin Airport,9.4,-0.7,0,9.2,20,8.3
21,feb,2018,Dublin Airport,8.9,-2.4,0,5.4,17,8.3
22,feb,2018,Dublin Airport,6.3,2.1,0,8.3,22,0
23,feb,2018,Dublin Airport,4.9,2.4,0,14.5,30,2.9
24,feb,2018,Dublin Airport,4.3,-2.8,0,11.3,25,2.4
25,feb,2018,Dublin Airport,5.6,-0.8,0,12.1,26,10
26,feb,2018,Dublin Airport,2.9,-0.2,0,12.1,23,0.1
27,feb,2018,Dublin Airport,3.9,-2.2,0.8,12.4,33,2.9
28,feb,2018,Dublin Airport,-0.4,-4.9,8.5,18.6,38,1.4
1,mar,2018,Dublin Airport,-0.5,-5.1,12.2,26,47,0
2,mar,2018,Dublin Airport,-0.2,-1.2,5.6,28.5,50,0
3,mar,2018,Dublin Airport,2.2,-1,1.1,19.2,37,0
4,mar,2018,Dublin Airport,4.4,1,7.6,10,24,0
5,mar,2018,Dublin Airport,4.6,2.2,2.2,5,14,0.1
6,mar,2018,Dublin Airport,7.5,2.6,0,7.1,16,4.1
7,mar,2018,Dublin Airport,8.8,-1.5,0.2,11.3,26,8.9
8,mar,2018,Dublin Airport,8.8,-3.1,0,8.8,20,4.6
